name,is_male,is_female,is_surname
Aabraham,True,False,False
Aada,False,True,False
Aadan,True,False,False
Aadolf,True,False,False
Aafje,False,True,False
Aage,True,False,False
Aali,True,False,False
Aalis,False,True,False
Aaliyah,False,True,False
Aamaal,False,True,False
Aamadu,True,False,False
Aamina,False,True,False
Aaminah,False,True,False
Aaminata,False,True,False
'Aamir,True,False,False
Aamir,True,False,False
Aamu,False,True,False
Aanakwad,True,True,False
Aang,True,False,False
Aapeli,True,False,False
Aapo,True,False,False
Aaralyn,False,True,False
Aaren,True,True,False
Aarne,True,False,False
Aarni,True,False,False
Aaro,True,False,False
Aäron,True,False,False
Aarón,True,False,False
Aaron,True,False,False
Aarre,True,False,False
Aart,True,False,False
Aarthi,False,True,False
Aarti,False,True,False
Aase,False,True,False
Aatami,True,False,False
Aatos,True,False,False
Aatto,True,False,False
Aatu,True,False,False
Aava,False,True,False
Abacuc,True,False,False
Abaddon,True,False,False
Abbán,True,False,False
'Abbas,True,False,False
Abbas,True,False,False
Abbe,True,False,False
Abbey,False,True,False
Abbi,False,True,False
Abbie,False,True,False
Abbigail,False,True,False
Abbondio,True,False,False
Abby,False,True,False
Abd al-Aziz,True,False,False
Abd al-Hamid,True,False,False
Abd al-Haqq,True,False,False
Abd al-Ilah,True,False,False
Abd al-Kader,True,False,False
Abd al-Karim,True,False,False
Abd Allah,True,False,False
Abd al-Latif,True,False,False
Abd al-Majid,True,False,False
Abd al-Malik,True,False,False
Abd al-Qadir,True,False,False
Abd al-Rahim,True,False,False
Abd al-Rahman,True,False,False
Abd al-Rashid,True,False,False
Abd al-Salam,True,False,False
Abd al-Wali,True,False,False
Abd ar-Rahim,True,False,False
Abd ar-Rahman,True,False,False
Abd ar-Rashid,True,False,False
Abd as-Salam,True,False,False
Abdastartos,True,False,False
Abdastartus,True,False,False
Abdel,True,False,False
Abdelaziz,True,False,False
Abdelhak,True,False,False
Abdelhamid,True,False,False
Abdelkader,True,False,False
Abdellah,True,False,False
Abdellatif,True,False,False
Abdelmajid,True,False,False
Abderrahim,True,False,False
Abderrahmane,True,False,False
Abdeslam,True,False,False
Abdessalam,True,False,False
Abdias,True,False,False
Abdiel,True,False,False
Abdiou,True,False,False
Abdo,True,False,False
Abdolhossein,True,False,False
Abdollah,True,False,False
Abdolreza,True,False,False
Abdou,True,False,False
Abdoul,True,False,False
Abdoulaye,True,False,False
Abduh,True,False,False
Abdul,True,False,False
Abdulah,True,False,False
Abdülaziz,True,False,False
Abdul Aziz,True,False,False
Abdulaziz,True,False,False
Abdul Hamid,True,False,False
Abdülhamit,True,False,False
Abdul Haq,True,False,False
Abdülkadir,True,False,False
Abdülkerim,True,False,False
Abdulla,True,False,False
Abdullaahi,True,False,False
Abdullah,True,False,False
Abdullahi,True,False,False
Abdüllatif,True,False,False
Abdullo,True,False,False
Abdulloh,True,False,False
Abdullohi,True,False,False
Abdul Rahman,True,False,False
Abdurakhman,True,False,False
Abdur Rahim,True,False,False
Abdur Rahman,True,False,False
Abdur Rashid,True,False,False
Abdus Salam,True,False,False
Abduweli,True,False,False
Abe,True,False,False
Abeba,False,True,False
Abednego,True,False,False
Abeer,False,True,False
Abegail,False,True,False
Ábel,True,False,False
Abel,True,False,False
Abelardo,True,False,False
Abele,True,False,False
Abelone,False,True,False
Abena,False,True,False
Abene,False,True,False
Abeni,False,True,False
Abenner,True,False,False
Aberash,False,True,False
Abessa,True,False,False
Abessalom,True,False,False
Abha,False,True,False
Abhay,True,False,False
Abhijeet,True,False,False
Abhijit,True,False,False
Abhilash,True,False,False
Abhilasha,False,True,False
Abhinav,True,False,False
Abhishek,True,False,False
Abi,False,True,False
Abia,True,True,False
Abiah,True,True,False
Abiathar,True,False,False
Abidan,True,False,False
Abidemi,True,True,False
Abiel,True,False,False
Abigaëlle,False,True,False
Abigaia,False,True,False
Abigaíl,False,True,False
Abigaïl,False,True,False
Abigail,False,True,False
Abigale,False,True,False
Abigayle,False,True,False
Abigél,False,True,False
Abihu,True,False,False
Abijah,True,True,False
Abilene,False,True,False
Abílio,True,False,False
Abilio,True,False,False
Abimael,True,False,False
Abimbola,True,True,False
Abimelech,True,False,False
Abiodun,True,True,False
Abiola,True,True,False
Abioye,True,True,False
Abir,False,True,False
Abiram,True,False,False
Abisai,True,False,False
Abishag,False,True,False
Abishai,True,False,False
Abital,False,True,False
'Abla,False,True,False
Abla,False,True,False
Abner,True,False,False
Abo,True,False,False
Abolfazl,True,False,False
Abosede,False,True,False
Aboubacar,True,False,False
Abraam,True,False,False
Abraão,True,False,False
Ábrahám,True,False,False
Abraham,True,False,False
Abrahán,True,False,False
Abram,True,False,False
Abramo,True,False,False
Abrar,True,True,False
Abrasha,True,False,False
Abril,False,True,False
Absalom,True,False,False
Abu,True,False,False
Abu al-Fadl,True,False,False
Abubakar,True,False,False
Abu Bakr,True,False,False
Əbülfəz,True,False,False
Abul-Fazl,True,False,False
Abundio,True,False,False
Abundius,True,False,False
Aca,True,False,False
Acacia,False,True,False
Acacius,True,False,False
Acantha,False,True,False
Ace,True,False,False
Achaab,True,False,False
Achab,True,False,False
Achaemenes,True,False,False
Achaicus,True,False,False
Achaikos,True,False,False
Achaimenes,True,False,False
Achan,True,False,False
Achard,True,False,False
'Achashwerosh,True,False,False
'Ach'av,True,False,False
Acheim,True,False,False
Acheloios,True,False,False
Achelous,True,False,False
Achieng,False,True,False
Achille,True,False,False
Achilleas,True,False,False
Achilles,True,False,False
Achilleus,True,False,False
Achim,True,False,False
Achinoam,False,True,False
Achlys,False,True,False
Achsah,False,True,False
Acke,True,False,False
Aco,True,False,False
Ad,True,False,False
Ada,False,True,False
Adad,True,False,False
Adad-Nirari,True,False,False
Adaeze,False,True,False
Adah,False,True,False
Adaiah,True,False,False
Adair,True,True,False
Adalberht,True,False,False
Adalbern,True,False,False
Adalbert,True,False,False
Adalberto,True,False,False
Adalet,False,True,False
Adalfarus,True,False,False
Adalfuns,True,False,False
Adalgard,False,True,False
Adalgund,False,True,False
Adalhaid,False,True,False
Adalhard,True,False,False
Adalheidis,False,True,False
Adalia,True,False,False
Adalindis,False,True,False
Adaline,False,True,False
Adallinda,False,True,False
Adalwin,True,False,False
Adalwolf,True,False,False
'Adalya,True,False,False
Adalyn,False,True,False
Adalynn,False,True,False
Ádám,True,False,False
Adəm,True,False,False
Adam,True,False,False
Adamantia,False,True,False
Adamantios,True,False,False
Adamina,False,True,False
Adamo,True,False,False
Adamou,True,False,False
Ādams,True,False,False
Adamŭ,True,False,False
Adán,True,False,False
Adanna,False,True,False
Adannaya,False,True,False
Adão,True,False,False
Adara,False,True,False
Adas,True,False,False
Adawosgi,True,False,False
'Adaya,True,False,False
Adde,True,False,False
Addie,False,True,False
Addilyn,False,True,False
Addison,True,True,False
Addolorata,False,True,False
Addy,True,True,False
Addyson,False,True,False
Ade,True,True,False
Adebayo,True,False,False
Adebola,True,True,False
Adebowale,True,True,False
Adedayo,True,True,False
Adegoke,True,False,False
Adei,True,False,False
Adekunle,True,False,False
Adél,False,True,False
Adel,True,False,False
Adéla,False,True,False
Adela,False,True,False
Adelaida,False,True,False
Adélaïde,False,True,False
Adelaide,False,True,False
Adelais,False,True,False
Adelajda,False,True,False
Adélard,True,False,False
Adelardo,True,False,False
Adelbert,True,False,False
Adèle,False,True,False
Adele,False,True,False
Adelė,False,True,False
Adelgundis,False,True,False
Adelheid,False,True,False
Adelia,False,True,False
Adélie,False,True,False
Adelina,False,True,False
Adelinde,False,True,False
Adeline,False,True,False
Adelita,False,True,False
Adella,False,True,False
Adelle,False,True,False
Adelma,False,True,False
Adelmar,True,False,False
Adelmo,True,False,False
Adelyn,False,True,False
Adelynn,False,True,False
Adem,True,False,False
Ademar,True,False,False
Ademaro,True,False,False
Ademir,True,False,False
Ademola,True,False,False
Aden,True,False,False
Adena,False,True,False
Adenike,False,True,False
Adeodatus,True,False,False
Adeola,True,True,False
Aderyn,False,True,False
Adetokunbo,True,True,False
Adewale,True,False,False
Ádhamh,True,False,False
Adhara,False,True,False
Adhelm,True,False,False
Adhiambo,False,True,False
Adi,True,True,False
Adian,True,False,False
Adil,True,False,False
Adila,False,True,False
Adilə,False,True,False
Adile,False,True,False
Adilet,True,False,False
Adin,True,False,False
'Adina,True,False,False
Adina,True,True,False
Adino,True,False,False
Adir,True,False,False
Adisa,True,True,False
Aditi,False,True,False
Aditya,True,False,False
Adjoa,False,True,False
Adlai,True,False,False
Adler,True,False,False
Admetos,True,False,False
Admetus,True,False,False
Admir,True,False,False
Adna,False,True,False
Adnan,True,False,False
Adolf,True,False,False
Adolfas,True,False,False
Adolfito,True,False,False
Adolfo,True,False,False
Adolph,True,False,False
Adolphe,True,False,False
Adolphus,True,False,False
Adomas,True,False,False
Adonai,True,False,False
Adonay,True,False,False
Adone,True,False,False
Adonijah,True,False,False
Adoniram,True,False,False
Adonis,True,False,False
'Adoniya,True,False,False
Adora,False,True,False
Adoración,False,True,False
Adorinda,False,True,False
Adorján,True,False,False
Adrastea,False,True,False
Adrasteia,False,True,False
Adrastos,True,False,False
Adria,False,True,False
Adrià,True,False,False
Adriaan,True,False,False
Adrián,True,False,False
Adrian,True,False,False
Adriana,False,True,False
Adrianna,False,True,False
Adrianne,False,True,False
Adriano,True,False,False
Adrians,True,False,False
Adrianus,True,False,False
Adriel,True,False,False
Adrien,True,False,False
Adriene,False,True,False
Adrienn,False,True,False
Adrienne,False,True,False
Adrijan,True,False,False
Adrijana,False,True,False
Adsila,False,True,False
Adur,True,False,False
Adva,False,True,False
Adwoa,False,True,False
Adzo,False,True,False
Æbbe,False,True,False
Áed,True,False,False
Áedán,True,False,False
Áedh,True,False,False
Áednat,False,True,False
Aegeus,True,False,False
Aegidius,True,False,False
Ægir,True,False,False
Aegle,False,True,False
Ælfflæd,False,True,False
Ælfgar,True,False,False
Ælfgifu,False,True,False
Ælfheah,True,False,False
Ælfnoð,True,False,False
Ælfræd,True,False,False
Ælfric,True,False,False
Ælfsige,True,False,False
Ælfstan,True,False,False
Ælfswiþ,False,True,False
Ælfþryð,False,True,False
Ælfthryth,False,True,False
Ælfweard,True,False,False
Ælfwig,True,False,False
Ælfwine,True,False,False
Ælfwynn,False,True,False
Aelia,False,True,False
Aeliana,False,True,False
Aelianus,True,False,False
Aelita,False,True,False
Aelius,True,False,False
Aella,False,True,False
Ælred,True,False,False
Aemilia,False,True,False
Aemiliana,False,True,False
Aemilianus,True,False,False
Aemilius,True,False,False
Aeneas,True,False,False
Aengus,True,False,False
Aenoheso,True,False,False
Aenor,False,True,False
Aeolus,True,False,False
Aeron,True,True,False
Aerona,False,True,False
Aeronwen,False,True,False
Aeronwy,False,True,False
Æsc,True,False,False
Aeschylus,True,False,False
Aesculapius,True,False,False
Aeson,True,False,False
Aesop,True,False,False
Æþelbeorht,True,False,False
Æðelberht,True,False,False
Æðelflæd,False,True,False
Æthelflæd,False,True,False
Æðelfrið,True,False,False
Æðelmær,True,False,False
Æthelnoð,True,False,False
Æðelræd,True,False,False
Æþelræd,True,False,False
Æthelred,True,False,False
Æðelric,True,False,False
Æthelric,True,False,False
Æðelstan,True,False,False
Æthelstan,True,False,False
Æðelþryð,False,True,False
Æthelthryth,False,True,False
Æthelweald,True,False,False
Æthelweard,True,False,False
Æðelwine,True,False,False
Æthelwine,True,False,False
Æðelwulf,True,False,False
Aether,True,False,False
